"","lfm.NAs.imputed","lfm.outliers.out","mpa","dw.flam.sample","sample.wt","ww.flam.sample","lfm","excess_water.scaled","mpa.scaled","PC1","PC2","PC3","PC4","tti","fh","gd","fd","temp.max","pfg","gti","ttfg","flam.index","year","month","prop.ignite","prop.ignite.bins5","ignition","spp","year.month","individual","site","start.temp","precip.2mo","mpa.unscaled","lfm.unscaled","dw.flam.sample.unscaled","lfm.NAs.imputed.unscaled","excess_water.unscaled","hydration","flam.sample.wt.unscaled","ww.flam.sample.unscaled","Species","id","timing"
"1",-0.129953228750622,-0.0580993721203776,-0.5,0.25288980019383,0.389476480070618,0.00564597606819017,-0.186559867964096,-0.131757622456648,1.36658914793852,1.9085190174855,1.00261535403193,-0.506280071795113,-0.624739344129351,28,14,87,5,329.6,62,20,8,16.1792590260894,"2016","December",100,100,1,"ADFA","2016_December","2016_December_ADFA_1.1.1","St. Marys",275.2,3.49,-0.5,67,0.308982035928144,67,-0.101964071856287,"moderate",0.516,0.207017964071856,"A. fasciculatum","2016_December_ADFA_1.1.1","Dec. 2016"
"2",1.42859298456238,NA,-0.3,-2.41899708827263,-0.422196155519131,2.1587436166584,3.5953464779392,2.42836248249127,1.43289078468761,1.7448648857499,1.07390968425762,-1.00033255965899,0.233796148789245,28,15,94,6,292.8,66,22,6,16.264002422048,"2016","December",100,100,1,"ADFA","2016_December","2016_December_ADFA_1.1.1","St. Marys",278.5,3.49,-0.3,159.0277778,0.189941018766756,94.7427772586423,0.112117962466488,"hydrated",0.492,0.302058981233244,"A. fasciculatum","2016_December_ADFA_1.1.1","Dec. 2016"
"3",0.400724191523472,0.486586233425684,-0.4,-0.525451903473431,-0.692753700715715,0.0663050985492942,0.201637596706911,0.314957715400974,1.39973996631306,0.02345204908567,0.769917571115961,-1.53569829768992,-1.20441761275031,37,10,119,4,341.9,81,34,3,15.3996150457795,"2016","December",100,100,1,"ADFA","2016_December","2016_December_ADFA_1.1.1","St. Marys",276,3.49,-0.4,76.44628099,0.274304449648712,76.44628099,-0.0646088992974238,"moderate",0.484,0.209695550351288,"A. fasciculatum","2016_December_ADFA_1.1.1","Dec. 2016"
"4",1.13090160342642,NA,-0.5,-1.57817389982997,0.0512795485748891,1.6272410637105,2.09476549475475,1.69981303377021,1.36658914793852,-1.38588987916725,0.807930663619724,-0.288886111011754,0.294688863854092,45,8,131,1,287.8,100,30,15,15.1002269119865,"2016","December",100,100,1,"ADFA","2016_December","2016_December_ADFA_1.1.1","St. Marys",276.7,3.49,-0.5,122.513089,0.227402352941176,89.4437456302398,0.051195294117647,"hydrated",0.506,0.278597647058824,"A. fasciculatum","2016_December_ADFA_1.1.1","Dec. 2016"
"5",1.09973061202315,1.20404418600599,-0.9,-0.515121408780721,0.490935559519337,0.848782422878177,0.712969923766496,0.722500466360115,1.23398587444034,1.81808961800476,1.38746405498478,-0.965937499231046,0.146178465918973,28,16,89,4,292.6,63,22,6,16.3487876655149,"2016","December",100,100,1,"ADFA","2016_December","2016_December_ADFA_1.1.1","St. Marys",284.6,3.49,-0.9,88.88888889,0.274764705882353,88.88888889,-0.0305294117647059,"moderate",0.519,0.244235294117647,"A. fasciculatum","2016_December_ADFA_1.1.1","Dec. 2016"
"6",1.74817103289143,NA,-2.1,-2.4515876997078,0.727673411566347,2.96188789987992,4.41863242584623,2.86968278697457,0.836176053945816,-2.04416342621509,1.76303986926675,-0.706376913012148,-0.463905139253127,48,1,126,1,300.3,86,39,9,15.2965524708112,"2016","December",100,100,1,"ADFA","2016_December","2016_December_ADFA_1.1.1","St. Marys",281.6,3.49,-2.1,179.0613718,0.188489003880983,100.431400756497,0.149021992238034,"hydrated",0.526,0.337510996119017,"A. fasciculatum","2016_December_ADFA_1.1.1","Dec. 2016"
"7",-0.363922480552103,-0.298244663266977,-2.7,0.154587401343755,-0.28691738292084,-0.348223002931919,-0.357711431777373,-0.266179799700647,0.637271143698552,-1.29952633110963,1.00919134791246,-1.50633297903768,-0.554125875527105,49,11,133,3,302.3,88,42,7,14.7598617516799,"2016","December",100,100,1,"ADFA","2016_December","2016_December_ADFA_1.1.1","St. Marys",272.3,3.49,-2.7,62.83524904,0.304602352941176,62.83524904,-0.113204705882353,"moderate",0.496,0.191397647058824,"A. fasciculatum","2016_December_ADFA_1.1.1","Dec. 2016"
"8",-0.240249793375847,-0.171307413008025,-3.1,-0.167810220729417,-0.861852166463579,-0.407943764075942,-0.267243245687835,-0.125933370849001,0.504667870200376,1.11248767182706,1.48782903088312,-0.963978525088584,0.3554067876312,31,12,96,5,281.7,66,25,6,15.8104085337234,"2016","December",100,100,1,"ADFA","2016_December","2016_December_ADFA_1.1.1","St. Marys",270.2,3.49,-3.1,65.03667482,0.290238518518519,65.03667482,-0.101477037037037,"moderate",0.479,0.188761481481481,"A. fasciculatum","2016_December_ADFA_1.1.1","Dec. 2016"
"9",1.44038507322158,1.55369083459337,-3.4,-0.718456105263698,0.457115866369764,1.03135889569604,0.962163111782287,0.927212561782127,0.405215415076744,3.51968208234546,1.01606225898287,1.01305581004462,0.196020910464513,18,12,57,9,316.4,45,3,15,16.7624832404471,"2016","December",100,100,1,"ADFA","2016_December","2016_December_ADFA_1.1.1","St. Marys",275.1,3.49,-3.4,94.95268139,0.265705501618123,94.95268139,-0.0134110032362459,"hydrated",0.518,0.252294498381877,"A. fasciculatum","2016_December_ADFA_1.1.1","Dec. 2016"
"10",0.573825616207508,0.664256981648234,-4,-0.231048509023017,0.389476480070618,0.494097211662698,0.328263549924545,0.383920463232296,0.20631050482948,1.3642937047283,1.95794075599895,-0.995669002359783,-0.0211414617075091,27,9,86,4,295.1,58,24,3,15.8118381517434,"2016","December",100,100,1,"ADFA","2016_December","2016_December_ADFA_1.1.1","St. Marys",276.8,3.49,-4,79.52755906,0.287421052631579,79.52755906,-0.0588421052631579,"moderate",0.516,0.228578947368421,"A. fasciculatum","2016_December_ADFA_1.1.1","Dec. 2016"
