spp,y,ymin,ymax,mean_lfm,lwr_lfm,upr_lfm
ABCO,146.21326548237292,144.3393061122037,148.08722485254214,146.21326548237292,144.3393061122037,148.08722485254214
ADFA,71.91001669516375,71.0774097227778,72.7426236675497,71.91001669516375,71.0774097227778,72.7426236675497
ARPA,107.29096755738938,106.27571122320727,108.30622389157149,107.29096755738938,106.27571122320727,108.30622389157149
CADE,114.33839252606838,113.23598974880832,115.44079530332843,114.33839252606838,113.23598974880832,115.44079530332843
CECO,228.21522040305697,213.13354911744986,243.2968916886641,228.21522040305697,213.13354911744986,243.2968916886641
CEME,92.51217811879995,91.82308535159333,93.20127088600657,92.51217811879995,91.82308535159333,93.20127088600657
PIJE,143.88704518681294,140.97967003108604,146.79442034253984,143.88704518681294,140.97967003108604,146.79442034253984
QUKE,110.61565913276587,109.61666355773794,111.6146547077938,110.61565913276587,109.61666355773794,111.6146547077938
