id,PC1,PC2,PC3,mpa,lfm,ww.flam.sample,dw.flam.sample,site,sample.wt,spp,tti,fh,fd,gd,gti,pfg,temp.max,year.month,prop.ignite.bins10_nodate,prop.ignite.bins5_nodate,ttfg,gr
"2016_December_EPI_ADFA_(30,40]_1",3.6337458978228785,-0.3593358749901716,-1.6035158291334697,-9.1,39.01192504,0.1467732843137255,0.3762267156862745,St. Marys,0.523,ADFA,14,20,11,94,13,70,332.1,2016_December,100,100,1,"(30,40]"
"2016_December_EPI_ADFA_(30,40]_3",1.5506390577495257,-1.0860725412255663,-2.029551713556726,-5.5,31.60245673,0.12511073398387784,0.3958892660161222,St. Marys,0.521,ADFA,24,15,11,131,23,97,343.9,2016_December,100,100,1,"(30,40]"
"2016_December_EPI_ADFA_(30,40]_3",3.0639767388350134,0.2097726927198465,-0.666797252755136,-7.1,37.06521739,0.13385804916732746,0.3611419508326726,St. Marys,0.495,ADFA,16,18,5,88,9,74,330.5,2016_December,100,100,7,"(30,40]"
"2016_December_EPI_ADFA_(40,50]_1",4.289644686760675,0.6327995486820103,-1.1109390665438434,-7.2,48.96640827,0.1581084128360798,0.3228915871639202,St. Marys,0.481,ADFA,16,27,6,71,11,54,310.6,2016_December,91,86,5,"(40,50]"
"2016_December_EPI_ADFA_(40,50]_2",0.921237788577541,1.5326300049730568,-0.15262747456273262,-0.7,49.10179641,0.1607068273092369,0.3272931726907631,St. Marys,0.488,ADFA,33,10,4,91,22,65,292.9,2016_December,91,86,11,"(40,50]"
"2016_December_EPI_ADFA_(40,50]_2",1.7809072566178736,1.038159847745163,0.13381950837463208,-7.4,44.55445545,0.16119863013698632,0.3618013698630137,St. Marys,0.523,ADFA,30,15,5,86,16,65,293.1,2016_December,91,100,14,"(40,50]"
"2016_December_EPI_ADFA_(40,50]_2",1.3970801144993443,0.8134194471671967,-1.0478919826361288,-9.5,49.35805991,0.17779178605539642,0.3602082139446036,St. Marys,0.538,ADFA,25,14,3,104,19,82,297.5,2016_December,91,86,6,"(40,50]"
"2016_December_EPI_ADFA_(40,50]_3",2.868578258445906,0.00118551720856507,1.1270288362497418,-8.5,46.16831218,0.16361402380186563,0.3543859761981344,St. Marys,0.518,ADFA,26,16,7,75,7,61,368.7,2016_December,91,86,19,"(40,50]"
"2016_December_EPI_ADFA_(40,50]_4",1.8225034153597015,-0.9264870405183132,1.24041574346991,-5.6,47.07996406,0.16356994502138056,0.34743005497861945,St. Marys,0.511,ADFA,26,9,14,103,4,85,305.3,2016_December,91,86,22,"(40,50]"
"2016_December_EPI_ADFA_(40,50]_4",-1.4330777424616905,1.1349163627866303,-0.3721296039912824,-8.85,46.44549763,0.1658705501618123,0.35712944983818773,St. Marys,0.523,ADFA,45,4,2,125,33,90,309.4,2016_December,91,86,12,"(40,50]"
"2016_December_EPI_ADFA_(40,50]_5",-0.3071553341265192,0.32159568149642537,-0.9961502906459344,-7.65,43.86206897,0.14817641418983696,0.33782358581016303,St. Marys,0.486,ADFA,38,7,6,125,31,88,340.5,2016_December,91,100,7,"(40,50]"
"2016_December_EPI_ADFA_(40,50]_6",3.726741699727047,-0.8555751386762345,-0.1505430361674659,-9.8,48.51485149,0.16888666666666674,0.3481133333333333,St. Marys,0.517,ADFA,14,15,13,86,5,68,369.3,2016_December,91,86,9,"(40,50]"
"2016_December_EPI_ADFA_(50,60]_2",1.095863924143105,2.370904630694443,0.8649551116407188,-0.7,55.45722714,0.1890702087286527,0.3409297912713473,St. Marys,0.53,ADFA,34,8,2,70,18,50,286.3,2016_December,94,93,16,"(50,60]"
"2016_December_EPI_ADFA_(50,60]_4",1.0487218564609893,0.2669769686855094,-0.7229426346509901,-5.1,51.12107623,0.16880118694362015,0.3301988130563798,St. Marys,0.499,ADFA,28,12,6,112,19,87,302.3,2016_December,94,96,9,"(50,60]"
